,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price
0,"1520 Camelot DriveAtlanta, GA 30349",30349,Fulton,2.0,2.0,,0.021,1970,,314,0.0,2,19900
1,"405 Fairburn Road SW Unit: 23Atlanta, GA 30331",30331,Fulton,2.0,1.5,,,1969,2.0,567,0.0,2,35000
2,"1312 Camelot DriveAtlanta, GA 30349",30349,Fulton,,,,0.048,1970,,704,3120.0,2,36000
3,"405 Fairburn Road SW Unit: 13Atlanta, GA 30331",30331,Fulton,2.0,1.5,,27.315,2007,2.0,0,0.0,2,42000
4,"405 Fairburn Road SW Unit: 0179Atlanta, GA 30331",30331,Fulton,2.0,1.5,,,1972,4.0,336,0.0,2,55000
5,"1971 Whitehall Forest CtAtlanta, GA 30316",30316,DeKalb,2.0,1.0,832.0,,1972,,749,2082.0,2,55000
6,"905 Camelot DriveAtlanta, GA 30349",30349,Fulton,2.0,2.0,921.0,0.021,1970,,270,270.0,2,59999
7,"510 CAMELOT Drive  Unit: 510Atlanta, GA 30349",30349,Fulton,3.0,2.0,1282.0,0.029,1970,5.0,621,498.0,2,63000
8,"611 Camelot Drive  Unit: 611Atlanta, GA 30349",30349,Fulton,3.0,2.0,1449.0,0.03,1970,5.0,741,249.0,2,63000
9,"6 Springside Drive SWAtlanta, GA 30354",30354,Fulton,3.0,1.0,912.0,0.34,1944,1.0,1982,0.0,2,69999
10,"140 SE Mount Zion  Unit: 61Atlanta, GA 30354",30354,Fulton,2.0,1.0,800.0,0.2,1972,1.0,0,8460.0,2,75000
11,"1871 Whitehall Forest CourtAtlanta, GA 30316",30316,DeKalb,3.0,2.0,1346.0,0.02,1972,,173,143.0,2,85000
12,"49 Spring Lane NWAtlanta, GA 30314",30314,Fulton,2.0,1.0,856.0,0.176,1950,,879,0.0,2,90000
13,"1903 Whitehall Forest SEAtlanta, GA 30316",30316,DeKalb,3.0,2.0,1344.0,0.02,1972,1.0,749,2028.0,2,97900
14,"972 Hubbard Street SWAtlanta, GA 30310",30310,Fulton,3.0,1.0,1096.0,0.08,1920,3.0,1261,0.0,2,109900
15,"975 Stonewall Drive SEAtlanta, GA 30315",30315,Fulton,5.0,2.0,1008.0,0.238,1960,,55,0.0,2,110000
16,"107 Chappell Road NWAtlanta, GA 30314",30314,Fulton,2.0,1.0,1484.0,0.172,1940,7.0,139,0.0,2,110000
17,"37 Peyton Place SWAtlanta, GA 30311",30311,Fulton,2.0,1.5,1008.0,0.023,1976,,884,2124.0,2,120000
18,"808 Thurmond Street NWAtlanta, GA 30314",30314,Fulton,2.0,2.0,,0.097,1948,,1102,0.0,2,120000
19,"2160 Perkerson RoadAtlanta, GA 30315",30315,Fulton,2.0,1.0,1410.0,0.386,1970,,3341,0.0,2,120000
20,"2805 Northeast Expressway  Unit: B3Atlanta, GA 30345",30345,DeKalb,1.0,1.0,528.0,,1968,,1466,3720.0,2,124900
21,"737 Lee Andrews SEAtlanta, GA 30315",30315,Fulton,3.0,1.0,898.0,0.286,1956,,1070,0.0,2,124999
22,"850 North Avenue NWAtlanta, GA 30318",30318,Fulton,1.0,1.0,,0.057,1925,,1000,0.0,2,125000
23,"850 North Avenue NWAtlanta, GA 30318",30318,Fulton,1.0,1.0,,0.057,1925,,1000,0.0,2,125000
24,"3145 Locke Drive SEAtlanta, GA 30316",30316,DeKalb,2.0,1.0,923.0,0.3,1954,,1103,0.0,2,129900
25,"4041 Blanton AveAtlanta, GA 30331",30331,Fulton,4.0,3.5,1566.0,0.17,2005,1.0,3124,0.0,2,129900
26,"359 SW Mary Streets SWAtlanta, GA 30310",30310,Fulton,4.0,3.0,,0.06,1920,,3427,0.0,2,130000
27,"2877 Grand Avenue SWAtlanta, GA 30315",30315,Fulton,2.0,1.5,892.0,0.247,1950,3.0,2613,0.0,2,135000
28,"405 Fairburn Road  Unit: 87Atlanta, GA 30331",30331,Fulton,3.0,1.5,,,1972,1.0,0,0.0,2,135000
29,"2981 GRANDAtlanta, GA 30315",30315,Fulton,4.0,2.0,1750.0,0.365,1940,,2143,0.0,2,135000
30,"1608 Pine Tree TrailAtlanta, GA 30349",30349,Fulton,4.0,2.5,1506.0,0.035,1990,,2081,2400.0,2,135000
31,"1909 SE Whitehall Forest CourtAtlanta, GA 30316",30316,DeKalb,4.0,2.0,1344.0,,1972,,1142,0.0,2,135000
32,"20 Marietta NW Unit: 10CAtlanta, GA 30309",30309,Fulton,1.0,1.0,448.0,,1995,5.0,1629,3800.0,2,139000
33,"1038 Orlando Pl SwAtlanta, GA 30311",30311,Fulton,2.0,1.0,1026.0,0.2,1945,2.0,3692,0.0,2,139900
34,"32 Peachtree Street NW Unit: 502Atlanta, GA 30303",30303,Fulton,1.0,1.0,,0.011,1920,3.0,1392,4200.0,2,140000
35,"32 Peachtree Street NW Unit: 602Atlanta, GA 30303",30303,Fulton,1.0,1.0,,0.011,1920,4.0,2141,4080.0,2,140000
36,"5275 OLD BILL COOK RoadAtlanta, GA 30349",30349,Fulton,2.0,1.0,1482.0,0.413,1941,,1007,0.0,2,140000
37,"1215 Wingate WayAtlanta, GA 30350",30350,Fulton,1.0,1.0,1060.0,0.018,1985,7.0,1754,3872.0,2,140001
38,"1397 Graymont Drive SWAtlanta, GA 30310",30310,Fulton,2.0,1.0,,0.172,1950,,1939,0.0,2,144900
39,"1719 ThomsAtlanta, GA 30318",30318,Fulton,2.0,1.0,784.0,0.381,1940,3.0,2198,0.0,2,145000
40,"1094 DECKNERAtlanta, GA 30310",30310,Fulton,2.0,1.0,,0.147,1935,5.0,2788,0.0,2,145000
41,"696 Center Hill AvenueAtlanta, GA 30318",30318,Fulton,3.0,1.0,1320.0,0.2,1940,,942,0.0,2,145000
42,"243 Peyton Place SWAtlanta, GA 30311",30311,Fulton,3.0,1.5,1134.0,0.026,1976,,1198,3108.0,2,147000
43,"940 Silverwood DriveAtlanta, GA 30349",30349,Clayton,3.0,2.5,,0.124,1984,,2149,0.0,2,149900
44,"5115 Norman BlvdAtlanta, GA 30349",30349,Clayton,3.0,2.0,2823.0,0.26,1962,,2763,0.0,2,149900
45,"870 Mayson Turner  Unit: 1214Atlanta, GA 30314",30314,Fulton,1.0,1.0,,0.021,2007,3.0,1334,354.0,2,149999
46,"1777 Cahoon Street SWAtlanta, GA 30310",30310,Fulton,3.0,1.0,900.0,0.148,1950,5.0,1528,0.0,2,150000
47,"1144 Blue Ridge Avenue NE Unit: 3Atlanta, GA 30306",30306,Fulton,1.0,1.0,448.0,0.01,1920,1.0,2219,2988.0,2,150000
48,"1412 Foxhall Lane SE Unit: 9Atlanta, GA 30316",30316,DeKalb,1.0,1.0,627.0,0.1,1966,4.0,1708,2376.0,2,150000
49,"898 Oak Street SW Unit: 1307Atlanta, GA 30310",30310,Fulton,1.0,1.0,,0.016,2006,5.0,2244,4260.0,2,152900
50,"20 Marietta Street NW Unit: 10FAtlanta, GA 30303",30303,Fulton,1.0,1.0,,0.013,1995,5.0,0,353.0,2,155000
51,"1653 Richmond Avenue SEAtlanta, GA 30315",30315,Fulton,1.0,1.0,,0.158,1945,,2368,0.0,2,155000
52,"1653 Richmond Avenue SEAtlanta, GA 30315",30315,Fulton,,,,0.158,1945,,2368,0.0,2,155000
53,"1258 CEDAR KNOLL WayAtlanta, GA 30349",30349,Clayton,4.0,3.0,,0.2,1996,,1680,0.0,2,155000
54,"126 Claire Drive SEAtlanta, GA 30315",30315,Fulton,3.0,1.5,,0.194,1928,,3014,0.0,2,155000
55,"697 Fayetteville Road  Unit: 303Atlanta, GA 30316",30316,DeKalb,1.0,1.0,601.0,0.3,2024,1.0,1394,0.0,2,155280
56,"1120 SW Mcdaniel StreetAtlanta, GA 30310",30310,Fulton,2.0,1.0,806.0,3920.0,1930,,1148,0.0,2,159000
57,"1165 Kipling Street SEAtlanta, GA 30315",30315,Fulton,2.0,1.0,800.0,0.214,1950,4.0,2501,0.0,2,159900
58,"3155 Oakcliff Rd NwAtlanta, GA 30311",30311,Fulton,3.0,2.0,976.0,0.64,1940,1.0,3486,0.0,2,159900
59,"1317 Redford Drive SEAtlanta, GA 30315",30315,Fulton,3.0,1.0,1025.0,0.209,1960,,596,0.0,2,159995
60,"2479 Peachtree Road NE Unit: 609Atlanta, GA 30305",30305,Fulton,1.0,1.0,505.0,0.012,1967,7.0,2059,4704.0,2,160000
61,"790 SW Plainville CircleAtlanta, GA 30331",30331,Fulton,3.0,1.0,1088.0,0.292,1974,,1032,0.0,2,160000
62,"460 Andrew J. HairstonAtlanta, GA 30318",30318,Fulton,4.0,2.5,,,2023,,1800,0.0,2,161900
63,"375 Ralph Mcgill Boulevard NE Unit: 904Atlanta, GA 30312",30312,Fulton,1.0,1.0,,0.013,1980,5.0,126,3612.0,2,161900
64,"898 SW Oak St  Unit: 3113Atlanta, GA 30310",30310,Fulton,1.0,1.0,777.0,0.18,2007,1.0,1085,0.0,2,163900
65,"870 Mayson Turner Road NW Unit: 1419Atlanta, GA 30314",30314,Fulton,2.0,1.0,872.0,0.02,2007,9.0,1672,3984.0,2,164500
66,"2965 Pharr Court South NW Unit: 102Atlanta, GA 30305",30305,Fulton,1.0,1.0,,0.015,1958,7.0,1437,3960.0,2,165000
67,"898 OAK  Unit: U-3422Atlanta, GA 30310",30310,Fulton,1.0,1.0,696.0,0.016,2007,3.0,2330,355.0,2,165000
68,"3340 Villa CircleAtlanta, GA 30354",30354,Fulton,3.0,2.0,1468.0,0.03,1961,,1192,0.0,2,165000
69,"3627 SW Ginnis Road SW Unit: 8Atlanta, GA 30331",30331,Fulton,2.0,2.5,,0.028,2004,3.0,2025,3000.0,2,165000
70,"215 Piedmont Avenue NE Unit: 304Atlanta, GA 30308",30308,Fulton,1.0,1.0,631.0,0.015,1963,2.0,1999,5247.0,2,166850
71,"140 BROWN Avenue SEAtlanta, GA 30315",30315,Fulton,1.0,1.0,1294.0,0.172,1930,5.0,411,0.0,2,169000
72,"2245 Carey Drive SEAtlanta, GA 30315",30315,Fulton,3.0,1.0,,0.23,1950,4.0,1689,0.0,2,169900
73,"125 Glenrose Circle SWAtlanta, GA 30354",30354,Fulton,3.0,1.0,1250.0,0.258,1962,1.0,2482,0.0,2,169900
74,"898 SW Oak Street  Unit: 1418Atlanta, GA 30310",30310,Fulton,1.0,1.0,696.0,0.016,2006,3.0,1121,3744.0,2,169999
75,"666 S Eugenia Place NwAtlanta, GA 30318",30318,Fulton,2.0,2.0,1044.0,0.774,1955,5.0,1042,0.0,2,169999
76,"494 Cleveland Avenue SWAtlanta, GA 30315",30315,Fulton,5.0,2.0,1668.0,0.225,1950,,3337,0.0,2,170000
77,"1990 Wellbourne NE Unit: 1Atlanta, GA 30324",30324,Fulton,1.0,1.0,600.0,0.014,1960,5.0,110,3240.0,2,172900
78,"706 Charles Allen NE Unit: 1Atlanta, GA 30308",30308,Fulton,1.0,1.0,415.0,0.01,1925,5.0,2161,1836.0,2,174900
79,"640 Hutchens Road SEAtlanta, GA 30354",30354,Fulton,3.0,1.0,945.0,0.51,1962,1.0,2123,0.0,2,174999
80,"2835 Burton RoadAtlanta, GA 30311",30311,Fulton,3.0,1.0,1080.0,0.41,1945,,1215,0.0,2,174999
81,"44 Adair Avenue SEAtlanta, GA 30315",30315,Fulton,3.0,1.0,1453.0,0.399,1938,,1151,0.0,2,175000
82,"163 Glenrose Circle SWAtlanta, GA 30354",30354,Fulton,3.0,1.0,1125.0,0.262,1955,,1431,0.0,2,175000
83,"2265 Perkerson Road SWAtlanta, GA 30315",30315,Fulton,2.0,1.0,810.0,0.344,1935,,1832,0.0,2,175000
84,"1797 Pennington PlaceAtlanta, GA 30316",30316,DeKalb,2.0,1.0,804.0,0.2,1950,,3257,0.0,2,175000
85,"2604 Campbellton Road SW Unit: D2Atlanta, GA 30311",30311,Fulton,2.0,2.5,,0.024,1967,1.0,1329,0.0,2,175999
86,"314 3rd Street NE Unit: 2Atlanta, GA 30308",30308,Fulton,1.0,1.0,435.0,0.01,1965,6.0,276,2160.0,2,179000
87,"1427 SW Lorenzo DriveAtlanta, GA 30310",30310,Fulton,2.0,1.0,2256.0,0.26,1945,,1140,0.0,2,179900
88,"376 SE CologneAtlanta, GA 30354",30354,Fulton,3.0,1.0,2000.0,0.282,1960,,2329,0.0,2,179900
89,"898 Oak Street SW Unit: 3109Atlanta, GA 30310",30310,Fulton,2.0,1.0,943.0,,2007,6.0,2784,5157.0,2,180000
90,"2604 Campbellton Road SW Unit: C6Atlanta, GA 30311",30311,Fulton,2.0,1.5,,0.024,1967,1.0,1329,1200.0,2,180000
91,"80 Brevard Avenue SWAtlanta, GA 30315",30315,Fulton,3.0,1.0,977.0,0.394,1950,2.0,3114,0.0,2,180000
92,"2521 County Line Road SWAtlanta, GA 30331",30331,Fulton,3.0,1.0,1368.0,0.413,1960,3.0,57,0.0,2,180000
93,"29 Burbank Drive NWAtlanta, GA 30314",30314,Fulton,2.0,1.0,800.0,0.184,1949,6.0,2153,0.0,2,180000
94,"2415 Perkerson Road SWAtlanta, GA 30315",30315,Fulton,3.0,1.0,1073.0,0.25,1952,3.0,848,0.0,2,180000
95,"1407 SW Westmont RoadAtlanta, GA 30311",30311,Fulton,2.0,1.0,1061.0,0.26,1950,,386,0.0,2,180000
96,"473 SW Oakside DriveAtlanta, GA 30331",30331,Fulton,3.0,2.0,1362.0,0.2,1965,,3084,0.0,2,180000
97,"1705 NW Mary George AvenueAtlanta, GA 30318",30318,Fulton,3.0,1.0,,0.29,1961,,1215,0.0,2,180000
98,"386 Sawtell Avenue SEAtlanta, GA 30315",30315,Fulton,3.0,2.0,995.0,0.423,1945,2.0,225,0.0,2,184900
99,"2285 Peachtree Road NE Unit: 503Atlanta, GA 30309",30309,Fulton,1.0,1.0,611.0,0.014,1965,8.0,2924,5820.0,2,185000
100,"984 Conley Road SEAtlanta, GA 30354",30354,Fulton,3.0,1.0,1040.0,0.444,1961,1.0,2126,0.0,2,185000
101,"870 Mayson Turner NW Unit: 1102Atlanta, GA 30314",30314,Fulton,2.0,1.0,,0.02,2007,2.0,2084,3972.0,2,185000
102,"2423 SW Lakewood AvenueAtlanta, GA 30315",30315,Fulton,2.0,1.0,768.0,0.27,1945,,1199,0.0,2,185000
103,"20 Marietta Street NW Unit: 15DAtlanta, GA 30303",30303,Fulton,1.0,1.0,442.0,0.01,1995,7.0,1635,0.0,2,185000
104,"324 FairburnAtlanta, GA 30331",30331,Fulton,3.0,1.0,875.0,0.25,1958,,1855,0.0,2,185500
105,"815 NW Cameron M Alexander BoulevardAtlanta, GA 30318",30318,Fulton,3.0,1.0,1420.0,0.085,1925,,1267,0.0,2,185900
106,"1079 White Oak Avenue SWAtlanta, GA 30310",30310,Fulton,3.0,2.0,1490.0,0.147,1935,,5214,0.0,2,188900
107,"3904 Bakers Ferry Road SWAtlanta, GA 30331",30331,Fulton,3.0,1.5,,0.384,1962,,2984,0.0,2,189000
108,"1909 Sylvan RidgeAtlanta, GA 30310",30310,Fulton,3.0,1.0,1286.0,0.247,1950,,911,0.0,2,189000
109,"3981 Cornell BoulevardAtlanta, GA 30331",30331,Fulton,4.0,2.0,,0.5,1963,,1543,0.0,2,189000
110,"2207 Swallow CircleAtlanta, GA 30315",30315,Fulton,3.0,2.0,1249.0,0.197,1960,,2894,0.0,2,189500
111,"2285 Peachtree Road NE Unit: UNIT 1004Atlanta, GA 30309",30309,Fulton,1.0,1.0,703.0,0.016,1965,4.0,1093,0.0,2,189500
112,"502 Pryor Street  Unit: 207Atlanta, GA 30312",30312,Fulton,1.0,1.0,,,2002,4.0,934,2772.0,2,189900
113,"20 26th Street NW Unit: D1Atlanta, GA 30309",30309,Fulton,1.0,1.0,713.0,0.016,1960,4.0,2129,3192.0,2,189900
114,"179 NW Dahlia AvenueAtlanta, GA 30314",30314,Fulton,2.0,1.0,818.0,0.13,1949,3.0,1473,0.0,2,189900
115,"795 Hammond Drive  Unit: 511Atlanta, GA 30328",30328,Fulton,1.0,1.0,541.0,0.012,1990,6.0,673,4164.0,2,190000
116,"3120 Seven Pines Court  Unit: 207Atlanta, GA 30339",30339,Cobb,1.0,1.0,1.0,0.03,1975,3.0,1928,2647.0,2,192000
117,"1729 Beechwood Boulevard SWAtlanta, GA 30311",30311,Fulton,2.0,1.0,,0.367,1951,,2289,0.0,2,193000
118,"3453 Eisenhower Circle SEAtlanta, GA 30354",30354,Fulton,3.0,1.0,1000.0,0.241,1967,,1299,0.0,2,193000
119,"1167 Gun Club RoadAtlanta, GA 30318",30318,Fulton,3.0,1.0,,0.451,1940,,2804,0.0,2,193000
120,"2945 Falling Water PointAtlanta, GA 30349",30349,Fulton,2.0,2.5,,0.077,2002,,2575,0.0,2,194900
121,"879 Crestwell Circle SWAtlanta, GA 30331",30331,Fulton,2.0,2.5,,0.02,2007,9.0,1326,2856.0,2,195000
122,"2955 Seven Pines  Unit: #205Atlanta, GA 30339",30339,Cobb,1.0,1.0,625.0,0.032,1975,6.0,1624,210.0,2,195000
123,"898 Oak Street SW Unit: 1308Atlanta, GA 30310",30310,Fulton,2.0,2.0,1035.0,0.024,2007,4.0,3404,6072.0,2,195000
124,"3467 Eisenhower CircleAtlanta, GA 30354",30354,Fulton,3.0,1.0,1000.0,0.241,1967,,1248,0.0,2,195000
125,"1349 Lockhaven Circle SWAtlanta, GA 30311",30311,Fulton,3.0,2.0,1602.0,0.27,1945,,869,0.0,2,195000
126,"898 Oak SW Unit: 3107Atlanta, GA 30310",30310,Fulton,1.0,1.0,943.0,0.1,2007,8.0,933,4800.0,2,195000
127,"20 Marietta  Unit: 11BAtlanta, GA 30303",30303,Fulton,2.0,2.0,1156.0,,1995,3.0,1590,8772.0,2,195000
128,"2840 Peachtree Road NE Unit: 306Atlanta, GA 30326",30326,Fulton,1.0,1.0,621.0,0.014,1925,,2616,7140.0,2,197000
129,"562 Grant Street SWAtlanta, GA 30315",30315,Fulton,2.0,1.0,,0.108,1930,3.0,3075,0.0,2,198995
130,"870 Mayson Turner Road NW Unit: UNIT 1311Atlanta, GA 30314",30314,Fulton,2.0,2.0,1089.0,0.025,2007,5.0,983,425.0,2,199000
131,"1100 Gun Club Road NWAtlanta, GA 30318",30318,Fulton,3.0,1.0,,0.289,1958,,1618,0.0,2,199000
132,"3125 Colonial Way  Unit: SAtlanta, GA 30341",30341,DeKalb,1.0,1.0,770.0,0.065,1956,7.0,2131,2988.0,2,199000
133,"870 Mayson Turner NW Unit: 1127Atlanta, GA 30314",30314,Fulton,2.0,2.0,1982.0,0.017,2007,3.0,1539,386.0,2,199000
134,"667 Church Street NWAtlanta, GA 30318",30318,Fulton,5.0,3.0,1288.0,0.179,1969,,3427,0.0,2,199000
135,"2 Burbank Drive NWAtlanta, GA 30314",30314,Fulton,5.0,2.0,,0.162,1940,3.0,4462,0.0,2,199000
136,"4221 SW Notting HillAtlanta, GA 30331",30331,Fulton,3.0,4.0,1709.0,0.028,2006,2.0,2974,2100.0,2,199000
137,"502 Pryor Street SW Unit: 6Atlanta, GA 30312",30312,Fulton,1.0,1.0,,,2002,1.0,934,2760.0,2,199000
138,"2870 Pharr Court  Unit: 2803Atlanta, GA 30305",30305,Fulton,1.0,1.0,543.0,0.1,1988,4.0,4296,3870.0,2,199000
139,"2135 Chadwick Road SWAtlanta, GA 30331",30331,Fulton,4.0,3.0,1383.0,0.02,2018,1.0,1209,2460.0,2,199700
140,"450 Collier Ridge NWAtlanta, GA 30318",30318,Fulton,3.0,2.0,,0.22,1963,,3553,0.0,2,199900
141,"1150 Collier Road NW Unit: H6Atlanta, GA 30318",30318,Fulton,1.0,1.0,775.0,0.018,1971,6.0,2724,3468.0,2,199900
142,"2503 Barge Road SWAtlanta, GA 30331",30331,Fulton,3.0,1.5,1056.0,0.339,1960,,2359,0.0,2,199900
143,"2169 Brannen Road SEAtlanta, GA 30316",30316,DeKalb,3.0,2.0,1227.0,0.3,1955,,3878,0.0,2,199900
144,"1261 Lavista Road  Unit: J3Atlanta, GA 30324",30324,DeKalb,2.0,1.5,1354.0,,1964,4.0,0,923.0,2,199900
145,"130 26th Street  Unit: 613Atlanta, GA 30309",30309,Fulton,1.0,1.0,815.0,0.019,1962,7.0,2853,0.0,2,199900
146,"151 Lablanc Way NWAtlanta, GA 30327",30327,Fulton,1.0,1.0,,0.019,1970,5.0,3287,5088.0,2,199900
147,"795 HAMMOND Drive  Unit: 404Atlanta, GA 30328",30328,Fulton,1.0,1.0,688.0,,1990,5.0,731,4908.0,2,199900
148,"2965 Pharr Court South NW, Unit#401Atlanta, GA 30305",30305,Fulton,2.0,2.0,976.0,0.002,1958,3.0,1831,6519.0,2,199900
149,"300 W Peachtree Street  Unit: 3MAtlanta, GA 30308",30308,Fulton,1.0,1.0,,0.009,1962,4.0,2262,0.0,2,199900
150,"1250 Parkwood Circle SE Unit: 1215Atlanta, GA 30339",30339,Cobb,1.0,1.0,542.0,0.01,1995,4.0,1772,195.0,2,199900
151,"57 Forsyth Street NW Unit: 15GAtlanta, GA 30303",30303,Fulton,1.0,2.0,,0.023,1913,6.0,3278,7392.0,2,199900
152,"114 Belmonte Drive SWAtlanta, GA 30311",30311,Fulton,2.0,2.5,1400.0,,1986,2.0,116,4164.0,2,199900
153,"742 SW Pegg RoadAtlanta, GA 30315",30315,Fulton,2.0,1.0,1008.0,0.21,1952,,1212,0.0,2,199900
154,"3370 Eisenhower Circle SEAtlanta, GA 30354",30354,Fulton,3.0,2.0,1.0,0.226,1967,,619,0.0,2,200000
155,"1459 Kenilworth Drive SWAtlanta, GA 30310",30310,Fulton,3.0,1.5,1155.0,0.243,1940,,107,0.0,2,200000
156,"728 Casplan Street SWAtlanta, GA 30310",30310,Fulton,3.0,1.0,930.0,0.22,1950,,2080,0.0,2,200000
157,"6385 CEDAR HURST TrailAtlanta, GA 30349",30349,Fulton,3.0,2.0,,0.303,1972,4.0,1420,0.0,2,200000
158,"2526 Romain WayAtlanta, GA 30344",30344,Fulton,2.0,1.0,800.0,0.203,1950,,928,0.0,2,204999
159,"1150 Collier Road NW Unit: K13Atlanta, GA 30318",30318,Fulton,1.0,1.0,794.0,0.018,1970,8.0,186,0.0,2,205000
160,"3545 Old Chamblee Tucker  Unit: DAtlanta, GA 30340",30340,DeKalb,2.0,1.5,,0.019,1966,5.0,1734,3120.0,2,205000
161,"2287 SW PembertonAtlanta, GA 30331",30331,Fulton,3.0,2.0,1678.0,0.588,1955,,3450,0.0,2,205000
162,"858 Bolton Pl NwAtlanta, GA 30331",30331,Fulton,3.0,1.5,,0.222,1960,,2175,0.0,2,208000
163,"1356 Campbellton Road SWAtlanta, GA 30310",30310,Fulton,2.0,1.0,1200.0,0.415,1950,6.0,1198,0.0,2,208000
164,"733 Frederica Street  Unit: 14Atlanta, GA 30306",30306,Fulton,1.0,1.0,495.0,0.011,1929,3.0,3522,3576.0,2,209000
165,"1751 Lisbon Drive SWAtlanta, GA 30310",30310,Fulton,3.0,1.5,1055.0,0.124,1950,,1370,0.0,2,209900
166,"976 Windwood CourtAtlanta, GA 30349",30349,Clayton,3.0,2.0,,0.235,2001,,1727,0.0,2,209900
167,"2459 Rockcliff Road SEAtlanta, GA 30316",30316,DeKalb,3.0,1.5,1350.0,0.6,1961,,3792,0.0,2,209900
168,"1507 S Gordon StreetAtlanta, GA 30310",30310,Fulton,4.0,2.0,,0.21,1988,,1791,0.0,2,209900
169,"115 RockfortAtlanta, GA 30349",30349,Fulton,4.0,2.5,1278.0,0.342,1974,,1827,0.0,2,210000
170,"971 Sims Avenue NWAtlanta, GA 30318",30318,Fulton,3.0,2.0,874.0,0.207,1935,,2728,0.0,2,210000
171,"513 Summit North NEAtlanta, GA 30324",30324,Fulton,1.0,1.0,859.0,0.02,1982,5.0,212,3192.0,2,210000
172,"541 W Lake AvenueAtlanta, GA 30318",30318,Fulton,2.0,1.0,980.0,0.152,1940,,1578,0.0,2,210000
173,"1436 Lanvale Drive SWAtlanta, GA 30310",30310,Fulton,3.0,1.0,2200.0,0.201,1950,3.0,2428,0.0,2,210000
174,"3074 Chastain Park NEAtlanta, GA 30342",30342,Fulton,1.0,1.0,690.0,0.016,1987,7.0,638,3792.0,2,210000
175,"1716 Devon Drive  Unit: 41Atlanta, GA 30311",30311,Fulton,2.0,2.5,1328.0,0.02,2005,,2291,0.0,2,210000
176,"2285 Peachtree Road NE Unit: UNIT 1401Atlanta, GA 30309",30309,Fulton,1.0,1.0,667.0,0.015,1965,3.0,1199,6360.0,2,210000
177,"3655 Habersham Road NE Unit: 210Atlanta, GA 30305",30305,Fulton,1.0,1.0,,0.016,1989,8.0,2548,3000.0,2,210000
178,"1195 SE Milton Terrace  Unit: 3305Atlanta, GA 30315",30315,Fulton,1.0,1.0,,,2006,3.0,1230,3250.0,2,210000
179,"644 Church StreetAtlanta, GA 30318",30318,Fulton,4.0,2.0,2160.0,0.17,1968,4.0,3505,0.0,2,210000
180,"6421 Olmadison LaneAtlanta, GA 30349",30349,Fulton,3.0,2.5,1540.0,0.143,2006,1.0,2157,0.0,2,211000
181,"3115 Seven Pines  Unit: 301Atlanta, GA 30339",30339,Cobb,2.0,1.0,980.0,0.03,1975,8.0,2170,3540.0,2,211500
182,"2657 Lenox Road NE Unit: 80-1Atlanta, GA 30324",30324,Fulton,1.0,1.0,650.0,0.015,1994,8.0,401,2760.0,2,212000
183,"898 Oak  Unit: 1215Atlanta, GA 30310",30310,Fulton,2.0,1.0,1105.0,0.025,2006,5.0,3118,525.0,2,212500
184,"898 OakAtlanta, GA 30310",30310,Fulton,,,,0.025,2006,6.0,3118,0.0,2,212500
185,"503 Summit North Drive NEAtlanta, GA 30324",30324,Fulton,1.0,1.0,,,1982,,2896,3192.0,2,212500
186,"2397 BigwoodAtlanta, GA 30349",30349,Fulton,3.0,2.5,1438.0,0.04,2006,,399,60.0,2,213900
187,"3353 Ward Drive SWAtlanta, GA 30354",30354,Fulton,3.0,1.0,1050.0,0.286,1960,3.0,1032,0.0,2,214000
188,"2479 Peachtree Road NE Unit: 1506Atlanta, GA 30305",30305,Fulton,1.0,1.0,837.0,0.019,1967,2.0,984,550.0,2,214900
189,"1987 Ruth Street NWAtlanta, GA 30318",30318,Fulton,3.0,3.0,2160.0,0.17,1930,,2848,0.0,2,214900
190,"1143 Hillcrest Drive SEAtlanta, GA 30316",30316,DeKalb,2.0,2.0,,0.2,1948,,2655,0.0,2,214900
191,"1690 Broad RiverAtlanta, GA 30349",30349,Clayton,2.0,2.5,1452.0,0.1,2009,2.0,2077,840.0,2,214900
192,"375 Ralph Mcgill Boulevard NE Unit: 201Atlanta, GA 30312",30312,Fulton,2.0,1.0,,0.023,1980,6.0,2590,6060.0,2,214999
193,"4485 Pamela Lane SWAtlanta, GA 30331",30331,Fulton,4.0,2.5,,0.499,1967,,975,0.0,2,215000
194,"57 FORSYTH NW Unit: 10DAtlanta, GA 30303",30303,Fulton,1.0,1.5,868.0,0.019,1913,5.0,753,7800.0,2,215000
195,"2657 LENOX  Unit: 143Atlanta, GA 30324",30324,Fulton,1.0,1.0,650.0,0.014,1994,5.0,2532,2496.0,2,215000
196,"2638 Vinings Central Drive SE Unit: 31Atlanta, GA 30339",30339,Cobb,1.0,1.0,,0.11,1986,1.0,1162,4800.0,2,215000
197,"2363 SW Cherry Blossom Drive SWAtlanta, GA 30331",30331,Fulton,4.0,2.0,,0.448,1956,,4007,0.0,2,215000
198,"852 Laurelmont SWAtlanta, GA 30311",30311,Fulton,3.0,1.5,2100.0,0.471,1958,2.0,3024,0.0,2,215000
199,"2375 Surrey TrailAtlanta, GA 30349",30349,Fulton,3.0,1.5,1368.0,0.412,1965,,3241,0.0,2,215000
